[11/10/2025 19:12:43 - INFO] Discord Presence activated
[11/10/2025 19:12:43 - INFO] Creating discord-rpc client
[11/10/2025 19:12:43 - INFO] Successfully connected to Discord
[11/10/2025 19:12:43 - DEBUG] Loading git extension
[11/10/2025 19:12:43 - TRACE] Git extension not activated, activating...
[11/10/2025 19:12:43 - DEBUG] Loading git extension
[11/10/2025 19:12:43 - TRACE] Git extension not activated, activating...
[11/10/2025 19:12:43 - TRACE] VSCode language id: go
[11/10/2025 19:23:20 - TRACE] VSCode language id: go
[11/10/2025 19:23:22 - TRACE] VSCode language id: go
[11/10/2025 19:24:51 - TRACE] VSCode language id: go
[11/10/2025 19:24:53 - TRACE] VSCode language id: go
[11/10/2025 19:24:55 - TRACE] VSCode language id: go
[11/10/2025 19:24:56 - TRACE] VSCode language id: go
[11/10/2025 19:24:58 - TRACE] VSCode language id: go
[11/10/2025 19:25:39 - TRACE] VSCode language id: go
[11/10/2025 19:25:41 - TRACE] VSCode language id: go
[11/10/2025 19:25:43 - TRACE] VSCode language id: go
[11/10/2025 19:25:45 - TRACE] VSCode language id: go
[11/10/2025 19:25:47 - TRACE] VSCode language id: go
[11/10/2025 19:25:49 - TRACE] VSCode language id: go
[11/10/2025 19:25:51 - TRACE] VSCode language id: go
[11/10/2025 19:25:53 - TRACE] VSCode language id: go
[11/10/2025 19:25:55 - TRACE] VSCode language id: go
[11/10/2025 19:25:58 - TRACE] VSCode language id: go
[11/10/2025 19:26:00 - TRACE] VSCode language id: go
[11/10/2025 19:26:02 - TRACE] VSCode language id: go
[11/10/2025 19:26:04 - TRACE] VSCode language id: go
[11/10/2025 19:26:06 - TRACE] VSCode language id: go
[11/10/2025 19:26:08 - TRACE] VSCode language id: go
[12/10/2025 09:21:14 - TRACE] VSCode language id: python
[12/10/2025 09:21:16 - TRACE] VSCode language id: go
[12/10/2025 09:21:17 - TRACE] VSCode language id: go
[12/10/2025 09:21:19 - TRACE] VSCode language id: code-runner-output
[12/10/2025 09:21:19 - TRACE] VSCode language id: code-runner-output
[12/10/2025 09:22:47 - TRACE] VSCode language id: go
[12/10/2025 09:22:49 - TRACE] VSCode language id: go
[12/10/2025 09:22:51 - TRACE] VSCode language id: go
[12/10/2025 09:22:53 - TRACE] VSCode language id: go
[12/10/2025 09:22:55 - TRACE] VSCode language id: go
[12/10/2025 09:22:57 - TRACE] VSCode language id: go
[12/10/2025 09:22:59 - TRACE] VSCode language id: go
[12/10/2025 09:23:33 - TRACE] VSCode language id: go
[12/10/2025 09:23:36 - TRACE] VSCode language id: go
[12/10/2025 09:23:38 - TRACE] VSCode language id: go
[12/10/2025 09:23:40 - TRACE] VSCode language id: go
[12/10/2025 09:23:42 - TRACE] VSCode language id: go
[12/10/2025 09:23:45 - TRACE] VSCode language id: go
[12/10/2025 09:23:47 - TRACE] VSCode language id: go
[12/10/2025 09:32:29 - TRACE] VSCode language id: go
[12/10/2025 09:32:37 - TRACE] VSCode language id: go
