[19/10/2025 19:19:00 - INFO] Discord Presence activated
[19/10/2025 19:19:00 - INFO] Creating discord-rpc client
[19/10/2025 19:19:00 - INFO] Successfully connected to Discord
[19/10/2025 19:19:00 - DEBUG] Loading git extension
[19/10/2025 19:19:00 - TRACE] VSCode language id: go
[19/10/2025 19:22:14 - TRACE] VSCode language id: go
[19/10/2025 19:22:16 - TRACE] VSCode language id: go
[19/10/2025 19:22:18 - TRACE] VSCode language id: go
[19/10/2025 19:22:20 - TRACE] VSCode language id: go
[19/10/2025 19:22:22 - TRACE] VSCode language id: go
[19/10/2025 19:22:30 - TRACE] VSCode language id: go
[19/10/2025 19:22:32 - TRACE] VSCode language id: go
[19/10/2025 19:22:34 - TRACE] VSCode language id: go
[19/10/2025 19:22:36 - TRACE] VSCode language id: go
[19/10/2025 19:22:38 - TRACE] VSCode language id: go
[19/10/2025 19:22:41 - TRACE] VSCode language id: go
[19/10/2025 19:22:43 - TRACE] VSCode language id: go
[19/10/2025 19:23:25 - TRACE] VSCode language id: go
[19/10/2025 19:23:27 - TRACE] VSCode language id: go
[19/10/2025 19:23:30 - TRACE] VSCode language id: go
[19/10/2025 19:23:32 - TRACE] VSCode language id: go
[19/10/2025 19:24:58 - TRACE] VSCode language id: go
[19/10/2025 19:25:00 - TRACE] VSCode language id: go
[19/10/2025 19:25:02 - TRACE] VSCode language id: go
[19/10/2025 19:25:04 - TRACE] VSCode language id: go
[19/10/2025 19:25:06 - TRACE] VSCode language id: go
[19/10/2025 19:25:09 - TRACE] VSCode language id: go
[19/10/2025 19:25:11 - TRACE] VSCode language id: go
[19/10/2025 19:25:13 - TRACE] VSCode language id: go
[19/10/2025 19:25:15 - TRACE] VSCode language id: go
[19/10/2025 19:25:17 - TRACE] VSCode language id: go
[19/10/2025 19:28:43 - TRACE] VSCode language id: go
[19/10/2025 19:28:45 - TRACE] VSCode language id: go
[19/10/2025 19:28:47 - TRACE] VSCode language id: go
[19/10/2025 19:28:49 - TRACE] VSCode language id: go
[19/10/2025 19:29:08 - TRACE] VSCode language id: go
[19/10/2025 19:29:10 - TRACE] VSCode language id: go
[19/10/2025 19:29:12 - TRACE] VSCode language id: go
[19/10/2025 19:29:22 - TRACE] VSCode language id: go
[19/10/2025 19:29:24 - TRACE] VSCode language id: go
[19/10/2025 19:29:26 - TRACE] VSCode language id: go
[19/10/2025 19:29:28 - TRACE] VSCode language id: go
[19/10/2025 19:29:31 - TRACE] VSCode language id: go
[19/10/2025 19:29:33 - TRACE] VSCode language id: go
[19/10/2025 19:29:36 - TRACE] VSCode language id: go
[19/10/2025 19:29:38 - TRACE] VSCode language id: go
[19/10/2025 19:29:46 - TRACE] VSCode language id: go
[19/10/2025 19:29:48 - TRACE] VSCode language id: go
[19/10/2025 19:29:50 - TRACE] VSCode language id: go
[19/10/2025 19:29:52 - TRACE] VSCode language id: go
[19/10/2025 19:29:54 - TRACE] VSCode language id: go
[19/10/2025 19:29:56 - TRACE] VSCode language id: go
[19/10/2025 19:29:58 - TRACE] VSCode language id: go
[19/10/2025 19:30:00 - TRACE] VSCode language id: go
[19/10/2025 19:30:02 - TRACE] VSCode language id: go
[19/10/2025 19:30:04 - TRACE] VSCode language id: go
[19/10/2025 19:30:06 - TRACE] VSCode language id: go
[19/10/2025 19:30:08 - TRACE] VSCode language id: go
[19/10/2025 19:30:10 - TRACE] VSCode language id: go
[19/10/2025 19:30:12 - TRACE] VSCode language id: go
[19/10/2025 19:30:14 - TRACE] VSCode language id: go
[19/10/2025 19:30:16 - TRACE] VSCode language id: go
[19/10/2025 19:31:44 - TRACE] VSCode language id: go
[19/10/2025 19:31:46 - TRACE] VSCode language id: go
[19/10/2025 19:31:48 - TRACE] VSCode language id: go
[19/10/2025 19:31:50 - TRACE] VSCode language id: go
[19/10/2025 19:31:52 - TRACE] VSCode language id: go
[19/10/2025 19:31:54 - TRACE] VSCode language id: go
[19/10/2025 19:31:56 - TRACE] VSCode language id: go
[19/10/2025 19:31:58 - TRACE] VSCode language id: go
[19/10/2025 19:32:01 - TRACE] VSCode language id: go
[19/10/2025 19:32:03 - TRACE] VSCode language id: go
[19/10/2025 19:32:05 - TRACE] VSCode language id: go
[19/10/2025 19:32:07 - TRACE] VSCode language id: go
[19/10/2025 19:32:09 - TRACE] VSCode language id: go
[19/10/2025 19:32:12 - TRACE] VSCode language id: go
[19/10/2025 19:32:14 - TRACE] VSCode language id: go
[19/10/2025 19:32:16 - TRACE] VSCode language id: go
[19/10/2025 19:32:18 - TRACE] VSCode language id: go
[19/10/2025 19:32:30 - TRACE] VSCode language id: go
[19/10/2025 19:32:32 - TRACE] VSCode language id: go
[19/10/2025 19:32:35 - TRACE] VSCode language id: go
[19/10/2025 19:32:37 - TRACE] VSCode language id: go
[19/10/2025 19:32:39 - TRACE] VSCode language id: go
[19/10/2025 19:32:41 - TRACE] VSCode language id: go
[19/10/2025 19:32:43 - TRACE] VSCode language id: go
[19/10/2025 19:32:45 - TRACE] VSCode language id: go
[19/10/2025 19:32:47 - TRACE] VSCode language id: go
[19/10/2025 19:32:50 - TRACE] VSCode language id: go
[19/10/2025 19:32:52 - TRACE] VSCode language id: go
[19/10/2025 19:32:54 - TRACE] VSCode language id: go
[19/10/2025 19:33:29 - TRACE] VSCode language id: go
[19/10/2025 19:33:31 - TRACE] VSCode language id: go
[19/10/2025 19:33:32 - TRACE] VSCode language id: go
[19/10/2025 19:33:34 - TRACE] VSCode language id: go
[19/10/2025 19:33:37 - TRACE] VSCode language id: go
[19/10/2025 19:33:39 - TRACE] VSCode language id: go
[19/10/2025 19:33:41 - TRACE] VSCode language id: go
[19/10/2025 19:33:43 - TRACE] VSCode language id: go
[19/10/2025 19:33:45 - TRACE] VSCode language id: go
[19/10/2025 19:33:47 - TRACE] VSCode language id: go
[19/10/2025 19:33:49 - TRACE] VSCode language id: go
[19/10/2025 19:33:51 - TRACE] VSCode language id: go
[19/10/2025 19:33:53 - TRACE] VSCode language id: go
[19/10/2025 19:33:53 - TRACE] VSCode language id: go
[19/10/2025 19:33:55 - TRACE] VSCode language id: go
[19/10/2025 19:33:58 - TRACE] VSCode language id: go
[19/10/2025 19:34:01 - TRACE] VSCode language id: go
[19/10/2025 19:34:03 - TRACE] VSCode language id: go
[19/10/2025 19:34:05 - TRACE] VSCode language id: go
[19/10/2025 19:34:07 - TRACE] VSCode language id: go
[19/10/2025 19:34:09 - TRACE] VSCode language id: go
[19/10/2025 19:34:11 - TRACE] VSCode language id: go
