[21/10/2025 16:16:35 - INFO] Discord Presence activated
[21/10/2025 16:16:35 - INFO] Creating discord-rpc client
[21/10/2025 16:16:36 - INFO] Successfully connected to Discord
[21/10/2025 16:16:36 - DEBUG] Loading git extension
[21/10/2025 16:16:41 - TRACE] VSCode language id: go
[21/10/2025 16:16:42 - TRACE] VSCode language id: go
[21/10/2025 16:16:44 - TRACE] VSCode language id: go
[21/10/2025 16:16:46 - TRACE] VSCode language id: go
[21/10/2025 16:16:48 - TRACE] VSCode language id: go
[21/10/2025 16:16:50 - TRACE] VSCode language id: go
[21/10/2025 16:16:54 - TRACE] VSCode language id: go
[21/10/2025 16:16:56 - TRACE] VSCode language id: go
[21/10/2025 16:17:15 - TRACE] VSCode language id: go
[21/10/2025 16:17:17 - TRACE] VSCode language id: go
[21/10/2025 16:17:19 - TRACE] VSCode language id: go
[21/10/2025 16:17:22 - TRACE] VSCode language id: go
[21/10/2025 16:18:22 - TRACE] VSCode language id: go
[21/10/2025 16:18:24 - TRACE] VSCode language id: go
[21/10/2025 16:18:34 - TRACE] VSCode language id: go
[21/10/2025 16:18:36 - TRACE] VSCode language id: go
[21/10/2025 16:18:44 - TRACE] VSCode language id: go
[21/10/2025 16:18:46 - TRACE] VSCode language id: go
[21/10/2025 16:18:48 - TRACE] VSCode language id: go
[21/10/2025 16:18:55 - TRACE] VSCode language id: go
[21/10/2025 16:18:57 - TRACE] VSCode language id: go
[21/10/2025 16:20:12 - TRACE] VSCode language id: go
[21/10/2025 16:20:14 - TRACE] VSCode language id: go
[21/10/2025 16:20:16 - TRACE] VSCode language id: go
[21/10/2025 16:20:44 - TRACE] VSCode language id: go
[21/10/2025 16:20:46 - TRACE] VSCode language id: go
[21/10/2025 16:20:50 - TRACE] VSCode language id: go
[21/10/2025 16:20:52 - TRACE] VSCode language id: go
[21/10/2025 16:21:26 - TRACE] VSCode language id: go
[21/10/2025 16:21:28 - TRACE] VSCode language id: go
[21/10/2025 16:21:31 - TRACE] VSCode language id: go
[21/10/2025 16:21:33 - TRACE] VSCode language id: go
[21/10/2025 16:21:37 - TRACE] VSCode language id: go
[21/10/2025 16:21:39 - TRACE] VSCode language id: go
[21/10/2025 16:21:41 - TRACE] VSCode language id: go
[21/10/2025 16:21:44 - TRACE] VSCode language id: go
[21/10/2025 16:21:46 - TRACE] VSCode language id: go
[21/10/2025 16:21:47 - TRACE] VSCode language id: go
[21/10/2025 16:21:49 - TRACE] VSCode language id: go
[21/10/2025 16:21:53 - TRACE] VSCode language id: go
