[20/10/2025 18:49:31 - INFO] Discord Presence activated
[20/10/2025 18:49:31 - INFO] Creating discord-rpc client
[20/10/2025 18:49:31 - INFO] Successfully connected to Discord
[20/10/2025 18:49:31 - DEBUG] Loading git extension
[20/10/2025 18:49:37 - TRACE] VSCode language id: go
[20/10/2025 18:49:39 - TRACE] VSCode language id: go
[20/10/2025 18:49:41 - TRACE] VSCode language id: go
[20/10/2025 18:49:43 - TRACE] VSCode language id: go
[20/10/2025 18:49:46 - TRACE] VSCode language id: go
[20/10/2025 18:49:48 - TRACE] VSCode language id: go
[20/10/2025 18:49:50 - TRACE] VSCode language id: go
[20/10/2025 18:49:52 - TRACE] VSCode language id: go
[20/10/2025 18:49:54 - TRACE] VSCode language id: go
[20/10/2025 18:49:56 - TRACE] VSCode language id: go
[20/10/2025 18:49:59 - TRACE] VSCode language id: go
[20/10/2025 18:50:01 - TRACE] VSCode language id: go
[20/10/2025 18:50:03 - TRACE] VSCode language id: go
[20/10/2025 18:50:05 - TRACE] VSCode language id: go
[20/10/2025 18:50:07 - TRACE] VSCode language id: go
[20/10/2025 18:50:09 - TRACE] VSCode language id: go
[20/10/2025 18:50:12 - TRACE] VSCode language id: go
[20/10/2025 18:50:14 - TRACE] VSCode language id: go
[20/10/2025 18:50:18 - TRACE] VSCode language id: go
[20/10/2025 18:50:20 - TRACE] VSCode language id: go
[20/10/2025 18:50:23 - TRACE] VSCode language id: go
[20/10/2025 18:50:26 - TRACE] VSCode language id: go
[20/10/2025 18:50:28 - TRACE] VSCode language id: go
[20/10/2025 18:50:30 - TRACE] VSCode language id: go
[20/10/2025 18:50:32 - TRACE] VSCode language id: go
[20/10/2025 18:50:49 - TRACE] VSCode language id: go
[20/10/2025 18:50:51 - TRACE] VSCode language id: go
[20/10/2025 18:50:53 - TRACE] VSCode language id: go
[20/10/2025 18:50:54 - TRACE] VSCode language id: go
[20/10/2025 18:50:56 - TRACE] VSCode language id: go
[20/10/2025 18:50:58 - TRACE] VSCode language id: go
[20/10/2025 18:51:00 - TRACE] VSCode language id: go
[20/10/2025 18:51:02 - TRACE] VSCode language id: go
[20/10/2025 18:51:28 - TRACE] VSCode language id: go
[20/10/2025 18:51:30 - TRACE] VSCode language id: go
[20/10/2025 18:51:33 - TRACE] VSCode language id: go
[20/10/2025 18:51:35 - TRACE] VSCode language id: go
[20/10/2025 18:51:37 - TRACE] VSCode language id: go
[20/10/2025 18:51:39 - TRACE] VSCode language id: go
[20/10/2025 18:51:41 - TRACE] VSCode language id: go
[20/10/2025 18:51:43 - TRACE] VSCode language id: go
[20/10/2025 18:51:45 - TRACE] VSCode language id: go
[20/10/2025 18:51:48 - TRACE] VSCode language id: go
[20/10/2025 18:51:53 - TRACE] VSCode language id: go
[20/10/2025 18:51:55 - TRACE] VSCode language id: go
[20/10/2025 18:51:57 - TRACE] VSCode language id: go
[20/10/2025 18:51:59 - TRACE] VSCode language id: go
[20/10/2025 18:52:02 - TRACE] VSCode language id: go
[20/10/2025 18:52:04 - TRACE] VSCode language id: go
[20/10/2025 18:52:06 - TRACE] VSCode language id: go
[20/10/2025 18:52:08 - TRACE] VSCode language id: go
[20/10/2025 18:52:10 - TRACE] VSCode language id: go
[20/10/2025 18:52:13 - TRACE] VSCode language id: go
[20/10/2025 18:52:15 - TRACE] VSCode language id: go
[20/10/2025 18:53:07 - TRACE] VSCode language id: go
[20/10/2025 18:53:09 - TRACE] VSCode language id: go
[20/10/2025 18:53:10 - TRACE] VSCode language id: go
[20/10/2025 18:53:12 - TRACE] VSCode language id: go
[20/10/2025 18:53:14 - TRACE] VSCode language id: go
[20/10/2025 18:53:16 - TRACE] VSCode language id: go
[20/10/2025 18:53:18 - TRACE] VSCode language id: go
[20/10/2025 18:53:20 - TRACE] VSCode language id: go
[20/10/2025 18:53:29 - TRACE] VSCode language id: go
[20/10/2025 18:53:31 - TRACE] VSCode language id: go
[20/10/2025 18:53:44 - TRACE] VSCode language id: go
[20/10/2025 18:53:46 - TRACE] VSCode language id: go
[20/10/2025 18:53:49 - TRACE] VSCode language id: go
[20/10/2025 18:53:51 - TRACE] VSCode language id: go
[20/10/2025 18:53:53 - TRACE] VSCode language id: go
[20/10/2025 18:53:55 - TRACE] VSCode language id: go
[20/10/2025 18:53:57 - TRACE] VSCode language id: go
[20/10/2025 18:53:59 - TRACE] VSCode language id: go
