[18/10/2025 16:48:32 - INFO] Discord Presence activated
[18/10/2025 16:48:32 - INFO] Creating discord-rpc client
[18/10/2025 16:48:33 - INFO] Successfully connected to Discord
[18/10/2025 16:48:33 - DEBUG] Loading git extension
[18/10/2025 16:48:33 - TRACE] VSCode language id: go
[18/10/2025 17:48:14 - TRACE] VSCode language id: go
[18/10/2025 17:48:16 - TRACE] VSCode language id: go
[18/10/2025 17:48:18 - TRACE] VSCode language id: go
[18/10/2025 17:48:20 - TRACE] VSCode language id: go
[18/10/2025 17:48:23 - TRACE] VSCode language id: go
[18/10/2025 17:48:25 - TRACE] VSCode language id: go
[18/10/2025 17:48:25 - TRACE] VSCode language id: go
[18/10/2025 17:48:27 - TRACE] VSCode language id: go
[18/10/2025 17:48:30 - TRACE] VSCode language id: go
[18/10/2025 17:48:32 - TRACE] VSCode language id: go
[18/10/2025 17:48:34 - TRACE] VSCode language id: go
[18/10/2025 17:48:36 - TRACE] VSCode language id: go
[18/10/2025 17:48:38 - TRACE] VSCode language id: go
[18/10/2025 17:48:40 - TRACE] VSCode language id: go
[18/10/2025 17:48:42 - TRACE] VSCode language id: go
[18/10/2025 17:48:44 - TRACE] VSCode language id: go
[18/10/2025 17:48:50 - TRACE] VSCode language id: go
[18/10/2025 17:48:52 - TRACE] VSCode language id: go
[18/10/2025 17:48:55 - TRACE] VSCode language id: go
[18/10/2025 17:48:57 - TRACE] VSCode language id: go
[18/10/2025 17:48:59 - TRACE] VSCode language id: go
[18/10/2025 17:49:01 - TRACE] VSCode language id: go
[18/10/2025 17:54:32 - TRACE] VSCode language id: go
[18/10/2025 17:54:34 - TRACE] VSCode language id: go
[18/10/2025 17:54:36 - TRACE] VSCode language id: go
[18/10/2025 17:54:38 - TRACE] VSCode language id: go
[18/10/2025 17:54:58 - TRACE] VSCode language id: go
[18/10/2025 17:55:00 - TRACE] VSCode language id: go
[18/10/2025 17:55:04 - TRACE] VSCode language id: go
[18/10/2025 17:55:06 - TRACE] VSCode language id: go
[18/10/2025 17:56:21 - TRACE] VSCode language id: go
[18/10/2025 17:56:23 - TRACE] VSCode language id: go
[18/10/2025 17:56:25 - TRACE] VSCode language id: go
