[16/10/2025 18:57:40 - INFO] Discord Presence activated
[16/10/2025 18:57:40 - INFO] Creating discord-rpc client
[16/10/2025 18:57:40 - INFO] Successfully connected to Discord
[16/10/2025 18:57:40 - DEBUG] Loading git extension
[16/10/2025 18:57:40 - TRACE] VSCode language id: go
[16/10/2025 18:57:45 - TRACE] VSCode language id: go
[16/10/2025 18:57:47 - TRACE] VSCode language id: go
[16/10/2025 18:57:49 - TRACE] VSCode language id: go
[16/10/2025 18:57:52 - TRACE] VSCode language id: go
[16/10/2025 18:57:54 - TRACE] VSCode language id: go
[16/10/2025 18:57:56 - TRACE] VSCode language id: go
[16/10/2025 18:57:58 - TRACE] VSCode language id: go
[16/10/2025 19:01:06 - TRACE] VSCode language id: go
[16/10/2025 19:01:08 - TRACE] VSCode language id: go
[16/10/2025 19:01:27 - TRACE] VSCode language id: go
[16/10/2025 19:01:29 - TRACE] VSCode language id: go
[16/10/2025 19:01:31 - TRACE] VSCode language id: go
[16/10/2025 19:01:33 - TRACE] VSCode language id: go
[16/10/2025 19:01:35 - TRACE] VSCode language id: go
[16/10/2025 19:01:37 - TRACE] VSCode language id: go
[16/10/2025 19:01:39 - TRACE] VSCode language id: go
[16/10/2025 19:01:41 - TRACE] VSCode language id: go
[16/10/2025 19:01:44 - TRACE] VSCode language id: go
[16/10/2025 19:01:46 - TRACE] VSCode language id: go
[16/10/2025 19:01:49 - TRACE] VSCode language id: go
[16/10/2025 19:01:51 - TRACE] VSCode language id: go
[16/10/2025 19:01:53 - TRACE] VSCode language id: go
[16/10/2025 19:01:55 - TRACE] VSCode language id: go
[16/10/2025 19:01:57 - TRACE] VSCode language id: go
[16/10/2025 19:01:59 - TRACE] VSCode language id: go
[16/10/2025 19:02:00 - TRACE] VSCode language id: go
[16/10/2025 19:02:02 - TRACE] VSCode language id: go
[16/10/2025 19:02:04 - TRACE] VSCode language id: go
[16/10/2025 19:02:06 - TRACE] VSCode language id: go
[16/10/2025 19:02:08 - TRACE] VSCode language id: go
[16/10/2025 19:02:10 - TRACE] VSCode language id: go
[16/10/2025 19:02:12 - TRACE] VSCode language id: go
[16/10/2025 19:02:14 - TRACE] VSCode language id: go
[16/10/2025 19:02:16 - TRACE] VSCode language id: go
[16/10/2025 19:02:18 - TRACE] VSCode language id: go
[16/10/2025 19:02:20 - TRACE] VSCode language id: go
[16/10/2025 19:02:22 - TRACE] VSCode language id: go
[16/10/2025 19:02:24 - TRACE] VSCode language id: go
[16/10/2025 19:02:27 - TRACE] VSCode language id: go
[16/10/2025 19:02:29 - TRACE] VSCode language id: go
[16/10/2025 19:02:31 - TRACE] VSCode language id: go
[16/10/2025 19:02:33 - TRACE] VSCode language id: go
[16/10/2025 19:02:35 - TRACE] VSCode language id: go
[16/10/2025 19:02:37 - TRACE] VSCode language id: go
[16/10/2025 19:02:39 - TRACE] VSCode language id: go
[16/10/2025 19:03:01 - TRACE] VSCode language id: go
[16/10/2025 19:03:03 - TRACE] VSCode language id: go
[16/10/2025 19:03:06 - TRACE] VSCode language id: go
[16/10/2025 19:03:08 - TRACE] VSCode language id: go
[16/10/2025 19:03:23 - TRACE] VSCode language id: go
[16/10/2025 19:03:25 - TRACE] VSCode language id: go
[16/10/2025 19:03:27 - TRACE] VSCode language id: go
[16/10/2025 19:03:32 - TRACE] VSCode language id: go
