[15/10/2025 18:30:15 - INFO] Discord Presence activated
[15/10/2025 18:30:15 - INFO] Creating discord-rpc client
[15/10/2025 18:30:15 - INFO] Successfully connected to Discord
[15/10/2025 18:30:15 - DEBUG] Loading git extension
[15/10/2025 18:30:15 - TRACE] VSCode language id: go
[15/10/2025 18:30:26 - TRACE] VSCode language id: go
[15/10/2025 18:30:28 - TRACE] VSCode language id: go
[15/10/2025 18:30:30 - TRACE] VSCode language id: go
[15/10/2025 18:30:32 - TRACE] VSCode language id: go
[15/10/2025 18:30:34 - TRACE] VSCode language id: go
[15/10/2025 18:30:36 - TRACE] VSCode language id: go
[15/10/2025 18:30:43 - TRACE] VSCode language id: go
[15/10/2025 18:30:45 - TRACE] VSCode language id: go
[15/10/2025 18:30:47 - TRACE] VSCode language id: go
[15/10/2025 18:30:57 - TRACE] VSCode language id: go
[15/10/2025 18:30:59 - TRACE] VSCode language id: go
[15/10/2025 18:31:01 - TRACE] VSCode language id: go
[15/10/2025 18:31:03 - TRACE] VSCode language id: go
[15/10/2025 18:31:05 - TRACE] VSCode language id: go
[15/10/2025 18:31:07 - TRACE] VSCode language id: go
[15/10/2025 18:31:16 - TRACE] VSCode language id: go
[15/10/2025 18:31:18 - TRACE] VSCode language id: go
[15/10/2025 18:31:21 - TRACE] VSCode language id: go
[15/10/2025 18:31:23 - TRACE] VSCode language id: go
[15/10/2025 18:31:25 - TRACE] VSCode language id: go
[15/10/2025 18:31:27 - TRACE] VSCode language id: go
[15/10/2025 18:31:44 - TRACE] VSCode language id: go
[15/10/2025 18:31:46 - TRACE] VSCode language id: go
[15/10/2025 18:31:48 - TRACE] VSCode language id: go
[15/10/2025 18:32:27 - TRACE] VSCode language id: go
[15/10/2025 18:32:29 - TRACE] VSCode language id: go
[15/10/2025 18:32:31 - TRACE] VSCode language id: go
[15/10/2025 18:32:33 - TRACE] VSCode language id: go
[15/10/2025 18:32:35 - TRACE] VSCode language id: go
[15/10/2025 18:32:37 - TRACE] VSCode language id: go
[15/10/2025 18:32:39 - TRACE] VSCode language id: go
[15/10/2025 18:32:41 - TRACE] VSCode language id: go
[15/10/2025 18:32:43 - TRACE] VSCode language id: go
[15/10/2025 18:32:45 - TRACE] VSCode language id: go
[15/10/2025 18:32:47 - TRACE] VSCode language id: go
[15/10/2025 18:32:49 - TRACE] VSCode language id: go
[15/10/2025 18:32:51 - TRACE] VSCode language id: go
[15/10/2025 18:32:53 - TRACE] VSCode language id: go
[15/10/2025 18:32:56 - TRACE] VSCode language id: go
[15/10/2025 18:32:58 - TRACE] VSCode language id: go
[15/10/2025 18:33:00 - TRACE] VSCode language id: go
[15/10/2025 18:33:03 - TRACE] VSCode language id: go
[15/10/2025 18:33:05 - TRACE] VSCode language id: go
[15/10/2025 18:33:07 - TRACE] VSCode language id: go
[15/10/2025 18:33:09 - TRACE] VSCode language id: go
[15/10/2025 18:33:11 - TRACE] VSCode language id: go
[15/10/2025 18:33:13 - TRACE] VSCode language id: go
[15/10/2025 18:33:15 - TRACE] VSCode language id: go
[15/10/2025 18:33:18 - TRACE] VSCode language id: python
[15/10/2025 18:33:19 - TRACE] VSCode language id: python
[15/10/2025 18:33:21 - TRACE] VSCode language id: python
[15/10/2025 18:33:23 - TRACE] VSCode language id: python
[15/10/2025 18:33:25 - TRACE] VSCode language id: python
[15/10/2025 18:33:27 - TRACE] VSCode language id: python
[15/10/2025 18:33:33 - TRACE] VSCode language id: go
[15/10/2025 18:33:34 - TRACE] VSCode language id: go.mod
[15/10/2025 18:33:35 - TRACE] VSCode language id: python
[15/10/2025 18:33:36 - TRACE] VSCode language id: python
[15/10/2025 18:33:38 - TRACE] VSCode language id: python
[15/10/2025 18:33:40 - TRACE] VSCode language id: go
[15/10/2025 18:33:40 - TRACE] VSCode language id: go
[15/10/2025 18:33:42 - TRACE] VSCode language id: go
[15/10/2025 18:33:44 - TRACE] VSCode language id: go
[15/10/2025 18:33:46 - TRACE] VSCode language id: go
[15/10/2025 18:33:48 - TRACE] VSCode language id: go
[15/10/2025 18:33:50 - TRACE] VSCode language id: go
[15/10/2025 18:33:52 - TRACE] VSCode language id: go
[15/10/2025 18:33:55 - TRACE] VSCode language id: go
[15/10/2025 18:33:57 - TRACE] VSCode language id: go
[15/10/2025 18:33:59 - TRACE] VSCode language id: go
[15/10/2025 18:34:01 - TRACE] VSCode language id: go
[15/10/2025 18:34:20 - TRACE] VSCode language id: go
[15/10/2025 18:34:22 - TRACE] VSCode language id: go
[15/10/2025 18:34:25 - TRACE] VSCode language id: go
[15/10/2025 18:34:27 - TRACE] VSCode language id: go
[15/10/2025 18:34:29 - TRACE] VSCode language id: go
[15/10/2025 18:34:31 - TRACE] VSCode language id: go
[15/10/2025 18:34:33 - TRACE] VSCode language id: go
[15/10/2025 18:34:35 - TRACE] VSCode language id: go
[15/10/2025 18:34:37 - TRACE] VSCode language id: go
[15/10/2025 18:34:39 - TRACE] VSCode language id: go
[15/10/2025 18:34:41 - TRACE] VSCode language id: go
[15/10/2025 18:34:43 - TRACE] VSCode language id: go
[15/10/2025 18:34:54 - TRACE] VSCode language id: go
[15/10/2025 18:34:56 - TRACE] VSCode language id: go
[15/10/2025 18:35:30 - TRACE] VSCode language id: go
[15/10/2025 18:37:19 - TRACE] VSCode language id: go
[15/10/2025 18:37:21 - TRACE] VSCode language id: go
[15/10/2025 18:37:25 - TRACE] VSCode language id: go
[15/10/2025 18:37:27 - TRACE] VSCode language id: go
[15/10/2025 18:37:33 - TRACE] VSCode language id: go
[15/10/2025 18:37:35 - TRACE] VSCode language id: go
[15/10/2025 18:38:04 - TRACE] VSCode language id: go
[15/10/2025 18:38:07 - TRACE] VSCode language id: go
[15/10/2025 18:38:09 - TRACE] VSCode language id: go
[15/10/2025 18:38:27 - TRACE] VSCode language id: go
[15/10/2025 18:38:28 - TRACE] VSCode language id: go
[15/10/2025 18:38:29 - TRACE] VSCode language id: go
[15/10/2025 18:38:31 - TRACE] VSCode language id: go
[15/10/2025 18:38:33 - TRACE] VSCode language id: go
[15/10/2025 18:38:33 - TRACE] VSCode language id: go
[15/10/2025 18:38:35 - TRACE] VSCode language id: go
[15/10/2025 18:38:38 - TRACE] VSCode language id: go
[15/10/2025 18:38:39 - TRACE] VSCode language id: go
[15/10/2025 18:38:41 - TRACE] VSCode language id: go
[15/10/2025 18:38:43 - TRACE] VSCode language id: go
[15/10/2025 18:38:45 - TRACE] VSCode language id: go
