[17/10/2025 17:45:35 - INFO] Discord Presence activated
[17/10/2025 17:45:35 - INFO] Creating discord-rpc client
[17/10/2025 17:45:36 - INFO] Successfully connected to Discord
[17/10/2025 17:45:36 - DEBUG] Loading git extension
[17/10/2025 17:45:36 - TRACE] VSCode language id: go
[17/10/2025 17:45:38 - TRACE] VSCode language id: go
[17/10/2025 17:45:40 - TRACE] VSCode language id: go
[17/10/2025 17:45:42 - TRACE] VSCode language id: go
[17/10/2025 17:45:44 - TRACE] VSCode language id: go
[17/10/2025 17:45:47 - TRACE] VSCode language id: go
[17/10/2025 17:45:49 - TRACE] VSCode language id: go
[17/10/2025 17:45:51 - TRACE] VSCode language id: go
[17/10/2025 17:47:03 - TRACE] VSCode language id: go
[17/10/2025 17:47:05 - TRACE] VSCode language id: go
[17/10/2025 17:47:07 - TRACE] VSCode language id: go
[17/10/2025 17:47:09 - TRACE] VSCode language id: go
[17/10/2025 17:47:12 - TRACE] VSCode language id: go
[17/10/2025 17:47:14 - TRACE] VSCode language id: go
[17/10/2025 17:47:16 - TRACE] VSCode language id: go
[17/10/2025 17:47:38 - TRACE] VSCode language id: go
[17/10/2025 17:47:40 - TRACE] VSCode language id: go
[17/10/2025 17:47:42 - TRACE] VSCode language id: go
[17/10/2025 17:47:45 - TRACE] VSCode language id: go
[17/10/2025 17:47:46 - TRACE] VSCode language id: go
[17/10/2025 17:47:48 - TRACE] VSCode language id: go
[17/10/2025 17:47:50 - TRACE] VSCode language id: go
[17/10/2025 17:47:52 - TRACE] VSCode language id: go
[17/10/2025 17:47:54 - TRACE] VSCode language id: go
[17/10/2025 17:47:56 - TRACE] VSCode language id: go
[17/10/2025 17:48:06 - TRACE] VSCode language id: go
[17/10/2025 17:48:08 - TRACE] VSCode language id: go
[17/10/2025 17:48:10 - TRACE] VSCode language id: go
[17/10/2025 17:48:12 - TRACE] VSCode language id: go
[17/10/2025 17:48:14 - TRACE] VSCode language id: go
[17/10/2025 17:48:16 - TRACE] VSCode language id: go
[17/10/2025 17:48:18 - TRACE] VSCode language id: go
[17/10/2025 17:48:20 - TRACE] VSCode language id: go
[17/10/2025 17:48:23 - TRACE] VSCode language id: go
[17/10/2025 17:48:33 - TRACE] VSCode language id: go
[17/10/2025 17:48:35 - TRACE] VSCode language id: go
[17/10/2025 17:48:37 - TRACE] VSCode language id: go
[17/10/2025 17:48:39 - TRACE] VSCode language id: go
[17/10/2025 17:48:46 - TRACE] VSCode language id: markdown
[17/10/2025 17:48:47 - TRACE] VSCode language id: markdown
[17/10/2025 17:48:49 - TRACE] VSCode language id: markdown
[17/10/2025 17:48:52 - TRACE] VSCode language id: markdown
[17/10/2025 17:48:54 - TRACE] VSCode language id: markdown
[17/10/2025 17:48:56 - TRACE] VSCode language id: markdown
[17/10/2025 17:48:59 - TRACE] VSCode language id: markdown
[17/10/2025 17:49:01 - TRACE] VSCode language id: markdown
[17/10/2025 17:49:02 - TRACE] VSCode language id: go
[17/10/2025 17:49:03 - TRACE] VSCode language id: go
[17/10/2025 17:49:05 - TRACE] VSCode language id: go
[17/10/2025 17:49:07 - TRACE] VSCode language id: go
[17/10/2025 17:49:09 - TRACE] VSCode language id: go
[17/10/2025 17:49:11 - TRACE] VSCode language id: go
[17/10/2025 17:49:13 - TRACE] VSCode language id: go
[17/10/2025 17:49:15 - TRACE] VSCode language id: go
[17/10/2025 17:49:17 - TRACE] VSCode language id: go
[17/10/2025 17:49:20 - TRACE] VSCode language id: go
[17/10/2025 17:49:22 - TRACE] VSCode language id: go
[17/10/2025 17:49:24 - TRACE] VSCode language id: go
[17/10/2025 17:49:26 - TRACE] VSCode language id: go
[17/10/2025 17:49:28 - TRACE] VSCode language id: go
[17/10/2025 17:49:30 - TRACE] VSCode language id: go
[17/10/2025 17:49:32 - TRACE] VSCode language id: go
[17/10/2025 17:49:34 - TRACE] VSCode language id: go
[17/10/2025 17:49:36 - TRACE] VSCode language id: go
[17/10/2025 17:49:39 - TRACE] VSCode language id: go
[17/10/2025 17:49:41 - TRACE] VSCode language id: go
[17/10/2025 17:49:43 - TRACE] VSCode language id: go
[17/10/2025 17:49:45 - TRACE] VSCode language id: go
[17/10/2025 17:49:47 - TRACE] VSCode language id: go
[17/10/2025 17:49:49 - TRACE] VSCode language id: go
[17/10/2025 17:49:51 - TRACE] VSCode language id: go
[17/10/2025 17:49:54 - TRACE] VSCode language id: go
[17/10/2025 17:49:56 - TRACE] VSCode language id: go
[17/10/2025 17:49:58 - TRACE] VSCode language id: go
[17/10/2025 17:50:00 - TRACE] VSCode language id: go
[17/10/2025 17:50:02 - TRACE] VSCode language id: go
[17/10/2025 17:50:11 - TRACE] VSCode language id: go
[17/10/2025 17:50:13 - TRACE] VSCode language id: go
[17/10/2025 17:50:30 - TRACE] VSCode language id: go
[17/10/2025 17:50:32 - TRACE] VSCode language id: go
[17/10/2025 17:50:34 - TRACE] VSCode language id: go
[17/10/2025 17:50:36 - TRACE] VSCode language id: go
[17/10/2025 17:50:38 - TRACE] VSCode language id: go
[17/10/2025 17:50:40 - TRACE] VSCode language id: go
[17/10/2025 17:50:42 - TRACE] VSCode language id: go
[17/10/2025 17:50:44 - TRACE] VSCode language id: go
[17/10/2025 17:50:46 - TRACE] VSCode language id: go
[17/10/2025 17:50:48 - TRACE] VSCode language id: go
[17/10/2025 17:50:50 - TRACE] VSCode language id: go
[17/10/2025 17:50:52 - TRACE] VSCode language id: go
[17/10/2025 17:50:54 - TRACE] VSCode language id: go
[17/10/2025 17:50:56 - TRACE] VSCode language id: go
[17/10/2025 17:50:58 - TRACE] VSCode language id: go
[17/10/2025 17:51:00 - TRACE] VSCode language id: go
[17/10/2025 17:51:02 - TRACE] VSCode language id: go
[17/10/2025 17:51:50 - TRACE] VSCode language id: go
[17/10/2025 17:51:52 - TRACE] VSCode language id: go
[17/10/2025 17:51:54 - TRACE] VSCode language id: go
[17/10/2025 17:51:56 - TRACE] VSCode language id: go
[17/10/2025 17:51:58 - TRACE] VSCode language id: go
[17/10/2025 17:52:00 - TRACE] VSCode language id: go
[17/10/2025 17:52:02 - TRACE] VSCode language id: go
[17/10/2025 17:52:05 - TRACE] VSCode language id: go
[17/10/2025 17:52:07 - TRACE] VSCode language id: go
[17/10/2025 17:52:09 - TRACE] VSCode language id: go
[17/10/2025 17:52:11 - TRACE] VSCode language id: go
[17/10/2025 17:52:14 - TRACE] VSCode language id: go
[17/10/2025 17:52:16 - TRACE] VSCode language id: go
[17/10/2025 17:52:18 - TRACE] VSCode language id: go
[17/10/2025 17:52:20 - TRACE] VSCode language id: go
[17/10/2025 17:52:22 - TRACE] VSCode language id: go
[17/10/2025 17:53:16 - TRACE] VSCode language id: go
[17/10/2025 17:53:18 - TRACE] VSCode language id: go
[17/10/2025 17:53:20 - TRACE] VSCode language id: go
[17/10/2025 17:53:22 - TRACE] VSCode language id: go
[17/10/2025 17:53:24 - TRACE] VSCode language id: go
[17/10/2025 17:53:27 - TRACE] VSCode language id: go
[17/10/2025 17:53:29 - TRACE] VSCode language id: go
[17/10/2025 17:53:31 - TRACE] VSCode language id: go
[17/10/2025 17:54:10 - TRACE] VSCode language id: go
[17/10/2025 17:54:12 - TRACE] VSCode language id: go
[17/10/2025 17:54:14 - TRACE] VSCode language id: go
[17/10/2025 17:54:16 - TRACE] VSCode language id: go
[17/10/2025 17:54:18 - TRACE] VSCode language id: go
[17/10/2025 17:54:20 - TRACE] VSCode language id: go
[17/10/2025 17:54:22 - TRACE] VSCode language id: go
[17/10/2025 17:54:24 - TRACE] VSCode language id: go
[17/10/2025 17:54:26 - TRACE] VSCode language id: go
[17/10/2025 17:54:28 - TRACE] VSCode language id: go
[17/10/2025 17:54:30 - TRACE] VSCode language id: go
[17/10/2025 17:54:32 - TRACE] VSCode language id: go
[17/10/2025 17:54:34 - TRACE] VSCode language id: go
