[17/10/2025 18:36:12 - INFO] Discord Presence activated
[17/10/2025 18:36:12 - INFO] Creating discord-rpc client
[17/10/2025 18:36:12 - INFO] Successfully connected to Discord
[17/10/2025 18:36:12 - DEBUG] Loading git extension
[17/10/2025 18:36:14 - TRACE] VSCode language id: shellscript
[17/10/2025 18:36:31 - TRACE] VSCode language id: plaintext
[17/10/2025 18:36:37 - TRACE] VSCode language id: python
[17/10/2025 18:36:38 - TRACE] VSCode language id: python
[17/10/2025 18:36:40 - TRACE] VSCode language id: python
[17/10/2025 18:36:42 - TRACE] VSCode language id: python
[17/10/2025 18:36:44 - TRACE] VSCode language id: python
[17/10/2025 18:36:46 - TRACE] VSCode language id: python
[17/10/2025 18:36:58 - TRACE] VSCode language id: python
[17/10/2025 18:37:00 - TRACE] VSCode language id: python
[17/10/2025 18:37:02 - TRACE] VSCode language id: python
[17/10/2025 18:37:04 - TRACE] VSCode language id: python
[17/10/2025 18:37:06 - TRACE] VSCode language id: python
[17/10/2025 18:37:08 - TRACE] VSCode language id: python
[17/10/2025 18:38:20 - TRACE] VSCode language id: plaintext
[17/10/2025 18:38:25 - TRACE] VSCode language id: plaintext
[17/10/2025 18:38:28 - TRACE] VSCode language id: go
[17/10/2025 18:40:06 - TRACE] VSCode language id: go
[17/10/2025 18:40:09 - TRACE] VSCode language id: go
[17/10/2025 18:40:11 - TRACE] VSCode language id: go
[17/10/2025 18:40:13 - TRACE] VSCode language id: go
[17/10/2025 18:40:15 - TRACE] VSCode language id: go
[17/10/2025 18:40:17 - TRACE] VSCode language id: go
