[16/10/2025 19:27:59 - INFO] Discord Presence activated
[16/10/2025 19:27:59 - INFO] Creating discord-rpc client
[16/10/2025 19:27:59 - INFO] Successfully connected to Discord
[16/10/2025 19:27:59 - DEBUG] Loading git extension
[16/10/2025 19:28:02 - TRACE] VSCode language id: python
[16/10/2025 19:28:05 - TRACE] VSCode language id: properties
[16/10/2025 19:28:07 - TRACE] VSCode language id: properties
[16/10/2025 19:28:09 - TRACE] VSCode language id: properties
[16/10/2025 19:28:12 - TRACE] VSCode language id: properties
[16/10/2025 19:29:07 - TRACE] VSCode language id: properties
[16/10/2025 19:29:09 - TRACE] VSCode language id: properties
[16/10/2025 19:33:21 - TRACE] VSCode language id: properties
[16/10/2025 19:33:23 - TRACE] VSCode language id: properties
[16/10/2025 19:33:25 - TRACE] VSCode language id: properties
[16/10/2025 19:36:46 - TRACE] VSCode language id: properties
[16/10/2025 19:37:52 - TRACE] VSCode language id: properties
[16/10/2025 19:37:54 - TRACE] VSCode language id: properties
[16/10/2025 19:38:50 - TRACE] VSCode language id: properties
[16/10/2025 19:38:52 - TRACE] VSCode language id: properties
[16/10/2025 19:42:13 - TRACE] VSCode language id: python
[16/10/2025 19:42:13 - TRACE] VSCode language id: python
[16/10/2025 19:42:15 - TRACE] VSCode language id: python
[16/10/2025 19:42:21 - TRACE] VSCode language id: python
[16/10/2025 19:42:23 - TRACE] VSCode language id: python
[16/10/2025 19:42:26 - TRACE] VSCode language id: python
[16/10/2025 19:42:28 - TRACE] VSCode language id: python
[16/10/2025 19:44:38 - TRACE] VSCode language id: python
[16/10/2025 19:44:40 - TRACE] VSCode language id: python
[16/10/2025 19:46:01 - TRACE] VSCode language id: python
[16/10/2025 19:46:03 - TRACE] VSCode language id: python
[16/10/2025 19:48:06 - TRACE] VSCode language id: python
[16/10/2025 19:48:13 - TRACE] VSCode language id: python
[16/10/2025 19:48:13 - TRACE] VSCode language id: python
[16/10/2025 19:48:21 - TRACE] VSCode language id: python
[16/10/2025 19:48:23 - TRACE] VSCode language id: python
[16/10/2025 19:48:25 - TRACE] VSCode language id: python
[16/10/2025 19:48:36 - TRACE] VSCode language id: python
[16/10/2025 19:50:20 - TRACE] VSCode language id: python
[16/10/2025 19:50:22 - TRACE] VSCode language id: python
