[12/10/2025 13:54:50 - INFO] Discord Presence activated
[12/10/2025 13:54:50 - INFO] Creating discord-rpc client
[12/10/2025 13:54:51 - INFO] Successfully connected to Discord
[12/10/2025 13:54:51 - DEBUG] Loading git extension
[12/10/2025 13:54:51 - TRACE] VSCode language id: go
[12/10/2025 13:55:11 - TRACE] VSCode language id: go
[12/10/2025 13:56:47 - TRACE] VSCode language id: go
[12/10/2025 13:56:49 - TRACE] VSCode language id: go
[12/10/2025 13:56:51 - TRACE] VSCode language id: go
[12/10/2025 13:56:52 - TRACE] VSCode language id: go
[12/10/2025 13:56:54 - TRACE] VSCode language id: go
[12/10/2025 13:56:57 - TRACE] VSCode language id: go
[12/10/2025 13:56:59 - TRACE] VSCode language id: go
[12/10/2025 13:57:01 - TRACE] VSCode language id: go
[12/10/2025 13:57:03 - TRACE] VSCode language id: go
[12/10/2025 13:57:05 - TRACE] VSCode language id: go
[12/10/2025 13:57:07 - TRACE] VSCode language id: go
[12/10/2025 13:57:09 - TRACE] VSCode language id: go
[12/10/2025 13:57:11 - TRACE] VSCode language id: go
[12/10/2025 13:57:13 - TRACE] VSCode language id: go
[12/10/2025 13:57:15 - TRACE] VSCode language id: go
[12/10/2025 13:57:17 - TRACE] VSCode language id: go
[12/10/2025 13:57:18 - TRACE] VSCode language id: go
[12/10/2025 13:57:20 - TRACE] VSCode language id: go
[12/10/2025 13:57:22 - TRACE] VSCode language id: go
[12/10/2025 13:57:24 - TRACE] VSCode language id: go
[12/10/2025 13:57:42 - TRACE] VSCode language id: go
[12/10/2025 13:57:44 - TRACE] VSCode language id: go
[12/10/2025 13:57:46 - TRACE] VSCode language id: go
[12/10/2025 13:57:48 - TRACE] VSCode language id: go
[12/10/2025 13:58:38 - TRACE] VSCode language id: go
[12/10/2025 13:59:42 - TRACE] VSCode language id: go
[12/10/2025 13:59:42 - TRACE] VSCode language id: go
