[15/10/2025 18:10:26 - INFO] Discord Presence activated
[15/10/2025 18:10:26 - INFO] Creating discord-rpc client
[15/10/2025 18:10:26 - INFO] Successfully connected to Discord
[15/10/2025 18:10:26 - DEBUG] Loading git extension
[15/10/2025 18:10:26 - TRACE] VSCode language id: go
[15/10/2025 18:10:33 - TRACE] VSCode language id: go
[15/10/2025 18:10:35 - TRACE] VSCode language id: go
[15/10/2025 18:10:37 - TRACE] VSCode language id: go
[15/10/2025 18:10:39 - TRACE] VSCode language id: go
[15/10/2025 18:10:41 - TRACE] VSCode language id: go
[15/10/2025 18:10:43 - TRACE] VSCode language id: go
[15/10/2025 18:10:45 - TRACE] VSCode language id: go
[15/10/2025 18:10:47 - TRACE] VSCode language id: go
[15/10/2025 18:10:49 - TRACE] VSCode language id: go
[15/10/2025 18:10:51 - TRACE] VSCode language id: go
[15/10/2025 18:10:53 - TRACE] VSCode language id: go
[15/10/2025 18:10:55 - TRACE] VSCode language id: go
[15/10/2025 18:10:57 - TRACE] VSCode language id: go
[15/10/2025 18:11:00 - TRACE] VSCode language id: go
[15/10/2025 18:13:50 - TRACE] VSCode language id: go
[15/10/2025 18:13:52 - TRACE] VSCode language id: go
[15/10/2025 18:14:59 - TRACE] VSCode language id: go
[15/10/2025 18:15:01 - TRACE] VSCode language id: go
[15/10/2025 18:15:03 - TRACE] VSCode language id: go
[15/10/2025 18:15:05 - TRACE] VSCode language id: go
[15/10/2025 18:15:06 - TRACE] VSCode language id: go
[15/10/2025 18:15:08 - TRACE] VSCode language id: go
[15/10/2025 18:15:10 - TRACE] VSCode language id: go
[15/10/2025 18:15:12 - TRACE] VSCode language id: go
[15/10/2025 18:15:16 - TRACE] VSCode language id: go
[15/10/2025 18:15:18 - TRACE] VSCode language id: go
[15/10/2025 18:15:20 - TRACE] VSCode language id: go
[15/10/2025 18:15:22 - TRACE] VSCode language id: go
[15/10/2025 18:15:24 - TRACE] VSCode language id: go
[15/10/2025 18:15:26 - TRACE] VSCode language id: go
[15/10/2025 18:15:28 - TRACE] VSCode language id: go
[15/10/2025 18:15:30 - TRACE] VSCode language id: go
[15/10/2025 18:15:32 - TRACE] VSCode language id: go
[15/10/2025 18:16:18 - TRACE] VSCode language id: go
