[18/10/2025 19:48:53 - INFO] Discord Presence activated
[18/10/2025 19:48:53 - INFO] Creating discord-rpc client
[18/10/2025 19:48:54 - INFO] Successfully connected to Discord
[18/10/2025 19:48:54 - DEBUG] Loading git extension
[18/10/2025 19:48:54 - TRACE] VSCode language id: ignore
[18/10/2025 19:49:14 - TRACE] VSCode language id: go
[18/10/2025 19:49:15 - TRACE] VSCode language id: go
[18/10/2025 19:49:17 - TRACE] VSCode language id: go
[18/10/2025 19:49:19 - TRACE] VSCode language id: go
[18/10/2025 19:49:38 - TRACE] VSCode language id: go
[18/10/2025 19:49:40 - TRACE] VSCode language id: go
[18/10/2025 19:49:42 - TRACE] VSCode language id: go
[18/10/2025 19:49:44 - TRACE] VSCode language id: go
[18/10/2025 19:49:47 - TRACE] VSCode language id: go
[18/10/2025 19:49:49 - TRACE] VSCode language id: go
[18/10/2025 19:49:51 - TRACE] VSCode language id: go
[18/10/2025 19:49:53 - TRACE] VSCode language id: go
[18/10/2025 19:49:55 - TRACE] VSCode language id: go
[18/10/2025 19:49:57 - TRACE] VSCode language id: go
[18/10/2025 19:49:59 - TRACE] VSCode language id: go
[18/10/2025 19:50:01 - TRACE] VSCode language id: go
[18/10/2025 19:50:03 - TRACE] VSCode language id: go
[18/10/2025 19:50:05 - TRACE] VSCode language id: go
[18/10/2025 19:50:07 - TRACE] VSCode language id: go
[18/10/2025 19:50:14 - TRACE] VSCode language id: go
[18/10/2025 19:50:16 - TRACE] VSCode language id: go
[18/10/2025 19:50:18 - TRACE] VSCode language id: go
[18/10/2025 19:50:19 - TRACE] VSCode language id: code-runner-output
[18/10/2025 19:50:20 - TRACE] VSCode language id: code-runner-output
[18/10/2025 19:50:32 - TRACE] VSCode language id: code-runner-output
[18/10/2025 19:50:38 - TRACE] VSCode language id: go
[18/10/2025 19:50:40 - TRACE] VSCode language id: go
[18/10/2025 19:50:42 - TRACE] VSCode language id: go
