[19/10/2025 13:12:25 - INFO] Discord Presence activated
[19/10/2025 13:12:25 - INFO] Creating discord-rpc client
[19/10/2025 13:12:25 - INFO] Successfully connected to Discord
[19/10/2025 13:12:25 - DEBUG] Loading git extension
[19/10/2025 13:12:29 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:43 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:45 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:47 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:49 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:51 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:53 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:55 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:57 - TRACE] VSCode language id: shellscript
[19/10/2025 13:13:59 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:01 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:03 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:05 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:07 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:09 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:11 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:13 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:15 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:18 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:45 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:47 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:49 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:51 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:53 - TRACE] VSCode language id: shellscript
[19/10/2025 13:14:55 - TRACE] VSCode language id: shellscript
[19/10/2025 13:15:22 - TRACE] VSCode language id: plaintext
[19/10/2025 13:15:23 - TRACE] VSCode language id: plaintext
[19/10/2025 13:15:25 - TRACE] VSCode language id: plaintext
[19/10/2025 13:15:29 - TRACE] VSCode language id: plaintext
